,,,
S.N,Minister Name,Dedicated Ministry,Party
1,C. Joseph Vijay,"Chief Minister,Oversees state law and order,police administration,internal security,& Civil Services.",TVK
2,N. Marie Wilson,"Manages the state budget, fiscal planning, state revenue allocations, treasury control, and socio-economic planning.",TVK
3,K.A. Sengottaiyan,"land administration, land records, district revenue establishments &emergency response",TVK
4,Aadhav Arjuna,"Controls the construction/maintenance of public buildings, government infrastructure, sports infrastructure, and youth welfare schemes.",TVK
5,C.T.R. Nirmalkumar,"Oversees state electricity boards, non-conventional energy development, judicial infrastructure, correctional services, and anti-corruption measures.",TVK
6,N. Anand,"Drives rural infrastructure projects, panchayat union schemes, irrigation networks, water security, and rural employment.",TVK
7,A. Rajmohan,"Manages primary and secondary schooling, promoting the Tamil language, archaeology, government media relations, and public information.",TVK
8,P. Viswanathan,"Controls universities, technical institutions, arts and science colleges, and higher academic regulations across the state.",INC
9,Dr. K.G. Arunraj,"Directs government hospitals, primary health centres, public healthcare initiatives, and medical entrance/colleges.",TVK
10,P. Venkataramanan,"Administers the Public Distribution System (PDS), ration card distribution, and food security/essential commodity monitoring.",TVK
11,S. Keerthana,"Promotes industrial growth, handles major manufacturing investments, corporate tie-ups, and special economic zones (SEZs).",TVK
12,Dr. T.K. Prabhu,"Regulates mining policies, mineral extractions, quarry operations, and state-owned geological assets.",TVK
13,A. Srinath,"Enhances coastal and inland fishing infrastructure, welfare schemes for marine communities, and cold storage networks.",TVK
14,Kamali S.,"Focuses on livestock health, veterinary clinics, fodder management, and financial schemes for poultry/cattle farmers.",TVK
15,C. Vijayalakshmi,"Directs state-run milk cooperatives, procurement from dairy farmers, and quality regulation of commercial dairy products.",TVK
16,R.V. Ranjithkumar,"Protects reserve forests, manages national parks/sanctuaries, monitors biodiversity conservation, and tackles man-animal conflict.",TVK
17,R. Vinoth,"Handles crop subsidies, agricultural engineering, horticulture production, wasteland development, and organic farming initiatives.",TVK
18,V.K. Rajeev,"Regulates pollution controls, environmental clearances, coastal zone protection, and climate resilience policies.",TVK
19,B. Rajkumar,"Manages town and country planning, slum clearance boards, urban housing projects, and metropolitan development authorities.",TVK
20,V. Gandhiraj,"Directs cooperative banking networks, agricultural credit societies, and cooperative retail stores across the state.",TVK
21,Mathan Raja P.,"Boosts local businesses, startups, single-window clearances for small scale units, and industrial estate operations.",TVK
22,Jegadeshwari K.,"Runs state orphanages, women's welfare homes, old-age pensions, and the government's free mid-day school meal scheme.",TVK
23,S. Rajesh Kumar,"Formulates tourism promotion strategies, heritage site upkeep, and manages state-owned tourism corporations and hotels.",INC
24,M. Vijay Balaji,"Supports local weavers, textile mill regulations, and marketing of indigenous handloom and Khadi products.",TVK
25,Logesh Tamilselvan D.,"Governs state GST collections, stamp duties, land/property registration operations, and revenue generation audits.",TVK
26,Vijay Tamilan Parthiban A.,"Controls state transport corporations (buses), regional transport offices (RTOs), licensing, and public commute networks.",TVK
27,Ramesh,"Oversees the administration, assets, revenues, and temple management of state-regulated Hindu shrines.",TVK
28,Kumar R.,"Focuses on state digitisation, IT parks, e-governance applications, and policy framework for emerging tech like AI.",TVK
29,Thennarasu K.,"Dedicated to supporting the diaspora, assisting expatriates with legal issues, NRI investments, and emergency evacuations.",TVK
30,V. Sampath Kumar,"Coordinates reservations, educational scholarship programs, and welfare hostel setups for BC, MBC, and denotified communities.",TVK
31,Mohamed Farvas J.,"Monitors employment exchanges, factory safety standards, labor unions, minimum wage laws, and youth skill training programs.",TVK
32,D. Sarathkumar,"Administers state service rules, public sector recruitments, civil servant transfers, and government staff training modules.",TVK
33,Vignesh K.,"Regulates alcohol sales through state-owned channels, manages liquor manufacturing licensing, and handles excise duties.",TVK
